Out-degree strong,Betweeness strong
25,0.0026274545810685357
2,0.00013438253382094546
10,3.673883948799471e-06
10,1.1399891827480578e-06
6,5.7962711189751396e-05
1,0.0004675664637640648
2,0.0025410593216085436
5,0.0027459386694053413
42,0.0035809376662389813
2,6.453940125551316e-05
78,0.00845187402797906
5,1.5825462256264556e-06
18,0.00011821545420530059
5,0.0
25,0.002305120974970881
2,0.0010773826150054333
3,0.0
2,1.6470465743222322e-07
25,0.0015237300586689669
6,0.00018931740970251474
5,4.452828721422231e-06
11,0.0005457425051228199
19,0.003135739954111153
28,0.0
5,4.1431099734353904e-05
2,0.0003827053255159615
5,8.614699484322657e-07
9,0.00011718211857934665
5,8.990146715950957e-05
45,0.0006163068836680167
25,0.0009163535421309852
5,0.0019696053258386873
12,0.00010217081125941723
8,5.013672428471097e-05
10,0.0007332528981840038
4,0.0005109291253885907
33,0.0015581217050566207
7,0.002538010803770341
23,4.836334150071124e-05
3,1.8876756345315165e-05
47,4.81191714830865e-05
11,3.471699518135868e-05
38,0.000967816761451448
13,4.559267880810222e-06
4,0.0006767526063863201
2,6.04879164273955e-06
6,0.0009418295118504387
7,0.0016276389048668588
4,0.0013881525770805885
1,0.0
2,0.00101424159195837
12,0.0006540575982911301
14,0.00015002286945504773
1,1.4463962661397562e-06
11,7.942391028018284e-05
2,0.0
12,0.0005086467361877482
24,5.0130827085616584e-05
3,1.4927139282831104e-05
3,1.453276389107852e-07
42,0.0012812732585657613
14,0.0007746572127606253
2,2.696635077566792e-07
12,0.00043261694719954594
12,0.001862857705552006
12,0.0005240089502381303
8,0.00015509215489705656
2,3.6147574647660765e-06
2,1.585781001055921e-06
34,0.0005088529677793616
3,3.283652622932894e-05
23,0.0001065889840989801
7,7.783506127330139e-06
15,0.0005302601337866591
18,0.0018686900464452145
2,0.0007277643402501519
7,0.004716903329184573
10,0.0013676634505057645
68,0.004563066555371001
6,0.00014715014728071982
2,5.42608379104701e-06
19,0.0002409194903726124
2,1.094892987260188e-05
4,1.185614119986509e-05
10,7.0757482640198846e-06
5,6.919056025771067e-05
35,0.000714076184585328
41,2.2910952039355365e-06
4,0.0034652302401354806
10,8.376296311327621e-06
20,0.0005476688920622965
3,6.894989090545031e-08
23,0.0013842461855984593
22,0.0024145232008696807
1,0.000127506481397234
1,0.0
39,0.002120152372964443
3,0.00017495010947287315
11,6.78852907941077e-05
3,3.102380552169865e-05
4,7.897745564688494e-06
14,0.0009345788636854944
16,6.804628797723055e-05
14,0.000645670331595853
2,0.00011619450409277287
2,0.002017462364776149
10,0.0010501918574375507
28,0.0662538773198993
4,3.085587124321368e-05
1,0.0
2,0.0020010162601626015
26,0.0008427228290979956
4,3.1895218567022715e-05
7,0.001048653434069978
1,0.0
2,2.574420299496913e-05
6,0.006730943932735526
32,0.007815831718425618
4,0.00039116968411977935
3,0.00014499383273876924
72,0.0013528597169961297
5,0.0
1,1.220147426566675e-06
13,1.2377729229224422e-05
1,0.0
14,0.0011741345059054428
12,0.00537180465093241
1,2.055520215353681e-05
94,0.0026177115880221184
2,0.000785041471783859
5,1.2543419084166624e-07
3,0.001329402401860835
13,9.627421601474997e-05
7,5.196634660794963e-06
26,0.00010668110423458779
18,0.0020523555351908626
1,7.121054306628475e-07
1,0.0020140545455951094
39,0.009110370676636432
1,1.0738097763963575e-06
8,2.3318700436804643e-05
